,temp_c,precipitation_mm,depth_midpoint_previous,depth_midpoint_current,soc_g_kg_previous,soc_mg_ha_previous,latitud,longitud,elevation,slope,slopeclass,aspect,hillshade,rougness,cwd,pt10,avg_percipitation,bd_avg,ph_avg,cat_avg,clay_avg,slit_avg,sand_avg,gridsoc_g_kg_avg,soc_change_mg
26,14.5,138.0,0.4,0.4,6.433333333333334,96.6,-37.62,175.92,55.0,89.97,5.0,65.56,0.0,29.83,-10.67,67.66,104.0,1061.5,55.5,24.5,26.0,32.75,41.25,51.0,-6.5
27,14.5,138.0,0.75,0.75,6.433333333333334,209.0,-37.62,175.92,55.0,89.97,5.0,65.56,0.0,29.83,-10.67,67.66,104.0,1061.5,55.5,24.5,26.0,32.75,41.25,51.0,54.0
28,14.5,138.0,1.5,1.5,6.433333333333334,34.3,-37.62,175.92,55.0,89.97,5.0,65.56,0.0,29.83,-10.67,67.66,104.0,1061.5,55.5,24.5,26.0,32.75,41.25,51.0,104.7
29,14.5,138.0,2.5,2.5,6.433333333333334,13.6,-37.62,175.92,55.0,89.97,5.0,65.56,0.0,29.83,-10.67,67.66,104.0,1061.5,55.5,24.5,26.0,32.75,41.25,51.0,63.99999999999999
30,14.5,138.0,3.5,3.5,6.433333333333334,6.3,-37.62,175.92,55.0,89.97,5.0,65.56,0.0,29.83,-10.67,67.66,104.0,1061.5,55.5,24.5,26.0,32.75,41.25,51.0,6.7
31,14.5,138.0,4.5,4.5,6.433333333333334,10.4,-37.62,175.92,55.0,89.97,5.0,65.56,0.0,29.83,-10.67,67.66,104.0,1061.5,55.5,24.5,26.0,32.75,41.25,51.0,26.1
32,14.5,138.0,5.5,5.5,6.433333333333334,3.1,-37.62,175.92,55.0,89.97,5.0,65.56,0.0,29.83,-10.67,67.66,104.0,1061.5,55.5,24.5,26.0,32.75,41.25,51.0,34.1
33,14.5,138.0,6.5,6.5,6.433333333333334,7.3,-37.62,175.92,55.0,89.97,5.0,65.56,0.0,29.83,-10.67,67.66,104.0,1061.5,55.5,24.5,26.0,32.75,41.25,51.0,-2.5999999999999996
34,14.5,138.0,7.5,7.5,6.433333333333334,2.3,-37.62,175.92,55.0,89.97,5.0,65.56,0.0,29.83,-10.67,67.66,104.0,1061.5,55.5,24.5,26.0,32.75,41.25,51.0,19.0
35,14.5,138.0,8.5,8.5,6.433333333333334,10.7,-37.62,175.92,55.0,89.97,5.0,65.56,0.0,29.83,-10.67,67.66,104.0,1061.5,55.5,24.5,26.0,32.75,41.25,51.0,16.6
36,12.2,890.0,5.0,5.0,8.3,11.196666666666665,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-3.259999999999999
37,12.2,890.0,20.0,20.0,8.3,10.99,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-3.293333333333334
38,12.2,890.0,45.0,45.0,4.8,13.893333333333333,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-1.9933333333333323
39,12.2,890.0,80.0,80.0,3.2,9.729999999999999,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-2.3099999999999996
40,12.2,890.0,5.0,5.0,8.3,11.196666666666665,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-3.259999999999999
41,12.2,890.0,20.0,20.0,8.3,10.99,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-3.293333333333334
42,12.2,890.0,45.0,45.0,4.8,13.893333333333333,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-1.9933333333333323
43,12.2,890.0,80.0,80.0,3.2,9.729999999999999,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-2.3099999999999996
44,12.2,890.0,5.0,5.0,8.3,11.196666666666665,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-3.259999999999999
45,12.2,890.0,20.0,20.0,8.3,10.99,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-3.293333333333334
46,12.2,890.0,45.0,45.0,4.8,13.893333333333333,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-1.9933333333333323
47,12.2,890.0,80.0,80.0,3.2,9.729999999999999,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-2.3099999999999996
48,12.2,890.0,5.0,5.0,8.3,11.196666666666665,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-3.259999999999999
49,12.2,890.0,20.0,20.0,8.3,10.99,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-3.293333333333334
50,12.2,890.0,45.0,45.0,4.8,13.893333333333333,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-1.9933333333333323
51,12.2,890.0,80.0,80.0,3.2,9.729999999999999,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-2.3099999999999996
52,12.2,890.0,5.0,5.0,8.3,11.196666666666665,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-3.259999999999999
53,12.2,890.0,20.0,20.0,8.3,10.99,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-3.293333333333334
54,12.2,890.0,45.0,45.0,4.8,13.893333333333333,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-1.9933333333333323
55,12.2,890.0,80.0,80.0,3.2,9.729999999999999,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-2.3099999999999996
56,12.2,890.0,5.0,5.0,8.3,11.196666666666665,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-3.259999999999999
57,12.2,890.0,20.0,20.0,8.3,10.99,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-3.293333333333334
58,12.2,890.0,45.0,45.0,4.8,13.893333333333333,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-1.9933333333333323
59,12.2,890.0,80.0,80.0,3.2,9.729999999999999,44.97,9.68,103.0,89.99,3.0,350.54,158.33,7.42,-255.42,37.84,65.0,1346.33,73.5,21.5,27.0,51.75,21.25,29.5,-2.3099999999999996
60,9.1,714.0,5.0,5.0,11.1,13.5,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,2.5
61,9.1,714.0,5.0,5.0,11.1,13.5,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,2.6000000000000014
62,9.1,714.0,5.0,5.0,11.1,13.5,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,4.899999999999999
63,9.1,714.0,15.0,15.0,9.9,13.1,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,0.3000000000000007
64,9.1,714.0,15.0,15.0,9.9,13.1,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,0.3000000000000007
65,9.1,714.0,15.0,15.0,9.9,13.1,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,-0.1999999999999993
66,9.1,714.0,25.0,25.0,9.0,13.5,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,-0.40000000000000036
67,9.1,714.0,25.0,25.0,9.0,13.5,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,-0.5999999999999996
68,9.1,714.0,25.0,25.0,9.0,13.5,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,0.5999999999999996
69,9.1,714.0,45.0,45.0,3.8,17.7,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,7.800000000000001
70,9.1,714.0,45.0,45.0,3.8,17.7,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,9.7
71,9.1,714.0,45.0,45.0,3.8,17.7,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,7.900000000000002
72,9.1,714.0,75.0,75.0,3.1,14.2,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,3.3000000000000007
73,9.1,714.0,75.0,75.0,3.1,14.2,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,5.400000000000002
74,9.1,714.0,75.0,75.0,3.1,14.2,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,5.5
75,9.1,714.0,5.0,5.0,12.1,14.7,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,6.400000000000002
76,9.1,714.0,5.0,5.0,12.1,14.7,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,1.6999999999999993
77,9.1,714.0,5.0,5.0,12.1,14.7,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,5.400000000000002
78,9.1,714.0,15.0,15.0,10.3,13.7,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,0.3000000000000007
79,9.1,714.0,15.0,15.0,10.3,13.7,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,-0.5999999999999996
80,9.1,714.0,15.0,15.0,10.3,13.7,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,-0.29999999999999893
81,9.1,714.0,25.0,25.0,9.2,13.9,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,-0.5
82,9.1,714.0,25.0,25.0,9.2,13.9,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,-0.5
83,9.1,714.0,25.0,25.0,9.2,13.9,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,0.6999999999999993
84,9.1,714.0,45.0,45.0,4.0,18.6,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,7.799999999999997
85,9.1,714.0,45.0,45.0,4.0,18.6,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,4.799999999999997
86,9.1,714.0,45.0,45.0,4.0,18.6,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,7.799999999999997
87,9.1,714.0,75.0,75.0,3.3,15.5,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,4.399999999999999
88,9.1,714.0,75.0,75.0,3.3,15.5,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,9.8
89,9.1,714.0,75.0,75.0,3.3,15.5,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,3.3999999999999986
90,9.1,714.0,5.0,5.0,13.7,16.5,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,3.6000000000000014
91,9.1,714.0,5.0,5.0,13.7,16.5,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,1.8999999999999986
92,9.1,714.0,5.0,5.0,13.7,16.5,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,4.100000000000001
93,9.1,714.0,15.0,15.0,10.6,14.1,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,-0.09999999999999964
94,9.1,714.0,15.0,15.0,10.6,14.1,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,-0.09999999999999964
95,9.1,714.0,15.0,15.0,10.6,14.1,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,-1.0
96,9.1,714.0,25.0,25.0,9.5,14.2,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,-0.5999999999999996
97,9.1,714.0,25.0,25.0,9.5,14.2,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,-0.3999999999999986
98,9.1,714.0,25.0,25.0,9.5,14.2,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,-0.5999999999999996
99,9.1,714.0,45.0,45.0,4.8,21.9,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,2.8000000000000007
100,9.1,714.0,45.0,45.0,4.8,21.9,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,4.900000000000002
101,9.1,714.0,45.0,45.0,4.8,21.9,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,3.1000000000000014
102,9.1,714.0,75.0,75.0,3.9,18.0,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,-0.5
103,9.1,714.0,75.0,75.0,3.9,18.0,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,3.1999999999999993
104,9.1,714.0,75.0,75.0,3.9,18.0,48.75,8.92,476.0,90.0,4.0,22.83,0.0,29.22,-69.42,41.86,49.0,1286.0,64.75,23.5,28.0,47.5,24.5,37.75,0.10000000000000142
105,24.0,1633.0,5.0,5.0,48.39333333333334,13.5,3.85,11.45,722.0,90.0,5.0,80.34,0.0,60.42,-256.0,48.65,20.0,1317.67,53.5,11.0,33.75,9.75,56.5,25.25,3.3999999999999986
106,24.0,1633.0,15.0,15.0,48.39333333333334,12.2,3.85,11.45,722.0,90.0,5.0,80.34,0.0,60.42,-256.0,48.65,20.0,1317.67,53.5,11.0,33.75,9.75,56.5,25.25,-3.5999999999999996
107,24.0,1633.0,30.0,30.0,43.580000000000005,90.0,3.85,11.45,722.0,90.0,5.0,80.34,0.0,60.42,-256.0,48.65,20.0,1317.67,53.5,11.0,33.75,9.75,56.5,25.25,-81.0
108,24.0,1633.0,55.0,55.0,38.39666666666667,19.6,3.85,11.45,722.0,90.0,5.0,80.34,0.0,60.42,-256.0,48.65,20.0,1317.67,53.5,11.0,33.75,9.75,56.5,25.25,-1.9000000000000021
109,24.0,1633.0,60.0,60.0,38.39666666666667,16.2,3.85,11.45,722.0,90.0,5.0,80.34,0.0,60.42,-256.0,48.65,20.0,1317.67,53.5,11.0,33.75,9.75,56.5,25.25,-0.6999999999999993
110,24.0,1633.0,85.0,85.0,36.72,21.4,3.85,11.45,722.0,90.0,5.0,80.34,0.0,60.42,-256.0,48.65,20.0,1317.67,53.5,11.0,33.75,9.75,56.5,25.25,1.7000000000000028
111,9.3,719.0,2.5,2.5,12.233333333333334,7.21,49.8,6.72,150.0,89.99,5.0,6.77,0.0,104.35,-198.58,38.07,62.0,1293.0,62.75,17.5,16.5,41.5,42.0,43.5,0.3799999999999999
112,9.3,719.0,7.5,7.5,12.233333333333334,6.59,49.8,6.72,150.0,89.99,5.0,6.77,0.0,104.35,-198.58,38.07,62.0,1293.0,62.75,17.5,16.5,41.5,42.0,43.5,0.28000000000000025
113,9.3,719.0,12.5,12.5,10.166666666666666,6.43,49.8,6.72,150.0,89.99,5.0,6.77,0.0,104.35,-198.58,38.07,62.0,1293.0,62.75,17.5,16.5,41.5,42.0,43.5,0.0
114,9.3,719.0,17.5,17.5,10.166666666666666,5.7,49.8,6.72,150.0,89.99,5.0,6.77,0.0,104.35,-198.58,38.07,62.0,1293.0,62.75,17.5,16.5,41.5,42.0,43.5,1.3199999999999994
115,9.3,719.0,25.0,25.0,10.166666666666666,7.8,49.8,6.72,150.0,89.99,5.0,6.77,0.0,104.35,-198.58,38.07,62.0,1293.0,62.75,17.5,16.5,41.5,42.0,43.5,6.260000000000001
116,9.3,719.0,40.0,40.0,10.166666666666666,15.3,49.8,6.72,150.0,89.99,5.0,6.77,0.0,104.35,-198.58,38.07,62.0,1293.0,62.75,17.5,16.5,41.5,42.0,43.5,4.18
117,9.3,719.0,62.5,62.5,7.2,7.13,49.8,6.72,150.0,89.99,5.0,6.77,0.0,104.35,-198.58,38.07,62.0,1293.0,62.75,17.5,16.5,41.5,42.0,43.5,3.3400000000000007
118,9.3,719.0,87.5,87.5,4.3999999999999995,2.81,49.8,6.72,150.0,89.99,5.0,6.77,0.0,104.35,-198.58,38.07,62.0,1293.0,62.75,17.5,16.5,41.5,42.0,43.5,3.23
119,9.3,719.0,2.5,2.5,12.233333333333334,7.21,49.8,6.72,150.0,89.99,5.0,6.77,0.0,104.35,-198.58,38.07,62.0,1293.0,62.75,17.5,16.5,41.5,42.0,43.5,8.07
120,9.3,719.0,7.5,7.5,12.233333333333334,6.59,49.8,6.72,150.0,89.99,5.0,6.77,0.0,104.35,-198.58,38.07,62.0,1293.0,62.75,17.5,16.5,41.5,42.0,43.5,3.4700000000000006
121,9.3,719.0,12.5,12.5,10.166666666666666,6.43,49.8,6.72,150.0,89.99,5.0,6.77,0.0,104.35,-198.58,38.07,62.0,1293.0,62.75,17.5,16.5,41.5,42.0,43.5,3.3000000000000007
122,9.3,719.0,17.5,17.5,10.166666666666666,5.7,49.8,6.72,150.0,89.99,5.0,6.77,0.0,104.35,-198.58,38.07,62.0,1293.0,62.75,17.5,16.5,41.5,42.0,43.5,0.9399999999999995
