ID;IDstudy;plotID;country;region;temperature_Celsiul;precipitation_mm;climate;Latitud;Longitud;bedrock;soil_type;USDA;TYPE_CHANGE;CROP_current;CROP_type;cropAGE;current_land_use;LUC_this_study;previous_land_use;years_since_luc;TEMPORAL_only_this study;timeTEMPORAL;CHANGE_management;year_since_MANAGEMENT_CHANGE;soil_treatments;tillageYESNO;tillage_type;fertilizerYESNO;fet_type;rate_fertilizer_kh_ha;pesticides;org_amendYESNO;org_amend_type;prev_man;SINGLE_DATA-MULTIPLE_SINGLEAMPLING;DIF_DEPTH_current_point;CONTI_DEPTH;NUM_DEPTH;year_measure;N_plots_current;N_sample_per_plot_current;N_measured_current;soil_from_cm_current;soil_to_cm_current;depth_midpoint_current;bulk_density_Mg_m3_current;%clay_current;%silt_current;%sand_current;ph_current;SOC_g_kg_current;sd_SOC_gkg_current;SOC_Mg_ha_current;sd_SOC_Mgha_current;N_plots_previous;N_sample_per_plot_previous;N_measured_current;soil_from_cm_previous;soil_to_cm_previous;depth_midpoint_previous;Bulkdensity_previous;%clay_previous;%silt_previous;%sand_previous;ph_previous;SOC_g_kg_previous;sd_SOC_gkg_previous;SOC_Mg_ha_previous;sd_SOC_Mgha_previous;yearPpub
27;4;8;New_Zeland;Bay_of_Plenty;14.5;138;Temperate;-37.616;175.916;Volcanic;Mollic_Andosol;Vitrads/Vitricryands_Andisol;LUC;Kiwi;woody;17;food;YES;grassland;17;NO;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;MULTI;YES;YES;11;2011;NA;3;3;0.3;0.5;0.4;1.17;NA;NA;NA;7.05;NA;NA;90.1;NA;NA;3;3;0.3;0.5;0.4;1.02;NA;NA;NA;5.79;NA;NA;96.6;NA;2015
28;4;8;New_Zeland;Bay_of_Plenty;14.5;138;Temperate;-37.616;175.916;Volcanic;Mollic_Andosol;Vitrads/Vitricryands_Andisol;LUC;Kiwi;woody;17;food;YES;grassland;17;NO;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;MULTI;YES;YES;11;2011;NA;3;3;0.5;1;0.75;1.13;NA;NA;NA;7.04;NA;NA;263;NA;NA;3;3;0.5;1;0.75;1.45;NA;NA;NA;5.81;NA;NA;209;NA;2015
29;4;8;New_Zeland;Bay_of_Plenty;14.5;138;Temperate;-37.616;175.916;Volcanic;Mollic_Andosol;Vitrads/Vitricryands_Andisol;LUC;Kiwi;woody;17;food;YES;grassland;17;NO;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;MULTI;YES;YES;11;2011;NA;3;3;1;2;1.5;1.13;NA;NA;NA;5.98;NA;NA;139;NA;NA;3;3;1;2;1.5;1.33;NA;NA;NA;5.87;NA;NA;34.3;NA;2015
30;4;8;New_Zeland;Bay_of_Plenty;14.5;138;Temperate;-37.616;175.916;Volcanic;Mollic_Andosol;Vitrads/Vitricryands_Andisol;LUC;Kiwi;woody;17;food;YES;grassland;17;NO;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;MULTI;YES;YES;11;2011;NA;3;3;2;3;2.5;1.17;NA;NA;NA;5.37;NA;NA;77.6;NA;NA;3;3;2;3;2.5;1.18;NA;NA;NA;5.87;NA;NA;13.6;NA;2015
31;4;8;New_Zeland;Bay_of_Plenty;14.5;138;Temperate;-37.616;175.916;Volcanic;Mollic_Andosol;Vitrads/Vitricryands_Andisol;LUC;Kiwi;woody;17;food;YES;grassland;17;NO;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;MULTI;YES;YES;11;2011;NA;3;3;3;4;3.5;1.09;NA;NA;NA;5.89;NA;NA;13;NA;NA;3;3;3;4;3.5;1.41;NA;NA;NA;5.6;NA;NA;6.3;NA;2015
32;4;8;New_Zeland;Bay_of_Plenty;14.5;138;Temperate;-37.616;175.916;Volcanic;Mollic_Andosol;Vitrads/Vitricryands_Andisol;LUC;Kiwi;woody;17;food;YES;grassland;17;NO;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;MULTI;YES;YES;11;2011;NA;3;3;4;5;4.5;1.01;NA;NA;NA;5.76;NA;NA;36.5;NA;NA;3;3;4;5;4.5;1.08;NA;NA;NA;5.5;NA;NA;10.4;NA;2015
33;4;8;New_Zeland;Bay_of_Plenty;14.5;138;Temperate;-37.616;175.916;Volcanic;Mollic_Andosol;Vitrads/Vitricryands_Andisol;LUC;Kiwi;woody;17;food;YES;grassland;17;NO;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;MULTI;YES;YES;11;2011;NA;3;3;5;6;5.5;0.97;NA;NA;NA;5.67;NA;NA;37.2;NA;NA;3;3;5;6;5.5;1.14;NA;NA;NA;5.64;NA;NA;3.1;NA;2015
34;4;8;New_Zeland;Bay_of_Plenty;14.5;138;Temperate;-37.616;175.916;Volcanic;Mollic_Andosol;Vitrads/Vitricryands_Andisol;LUC;Kiwi;woody;17;food;YES;grassland;17;NO;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;MULTI;YES;YES;11;2011;NA;3;3;6;7;6.5;1.11;NA;NA;NA;5.52;NA;NA;4.7;NA;NA;3;3;6;7;6.5;1.29;NA;NA;NA;5.49;NA;NA;7.3;NA;2015
35;4;8;New_Zeland;Bay_of_Plenty;14.5;138;Temperate;-37.616;175.916;Volcanic;Mollic_Andosol;Vitrads/Vitricryands_Andisol;LUC;Kiwi;woody;17;food;YES;grassland;17;NO;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;MULTI;YES;YES;11;2011;NA;3;3;7;8;7.5;1.01;NA;NA;NA;5.45;NA;NA;21.3;NA;NA;3;3;7;8;7.5;1.18;NA;NA;NA;5.7;NA;NA;2.3;NA;2015
36;4;8;New_Zeland;Bay_of_Plenty;14.5;138;Temperate;-37.616;175.916;Volcanic;Mollic_Andosol;Vitrads/Vitricryands_Andisol;LUC;Kiwi;woody;17;food;YES;grassland;17;NO;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;MULTI;YES;YES;11;2011;NA;3;3;8;9;8.5;1.31;NA;NA;NA;5.44;NA;NA;27.3;NA;NA;3;3;8;9;8.5;1.15;NA;NA;NA;5.69;NA;NA;10.7;NA;2015
